import time: self [us] | cumulative | imported package
import time:       349 |        349 |   _io
import time:        50 |         50 |   marshal
import time:       487 |        487 |   posix
import time:      1048 |       1932 | _frozen_importlib_external
import time:       124 |        124 |   time
import time:       302 |        426 | zipimport
import time:        49 |         49 |     _codecs
import time:       480 |        528 |   codecs
import time:       510 |        510 |   encodings.aliases
import time:       985 |       2022 | encodings
import time:       217 |        217 | encodings.utf_8
import time:       182 |        182 | _signal
import time:        28 |         28 |     _abc
import time:       278 |        305 |   abc
import time:       316 |        620 | io
import time:        40 |         40 |       _stat
import time:       188 |        228 |     stat
import time:       803 |        803 |     _collections_abc
import time:        44 |         44 |       genericpath
import time:       429 |        472 |     posixpath
import time:       990 |       2491 |   os
import time:       107 |        107 |   _sitebuiltins
import time:       623 |        623 |   _distutils_hack
import time:        54 |         54 |     apport_python_hook
import time:       399 |        452 |   sitecustomize
import time:      1770 |       5441 | site
import time:       381 |        381 |     types
import time:       424 |        424 |     _ctypes
import time:        67 |         67 |       _struct
import time:       260 |        327 |     struct
import time:       305 |        305 |     ctypes._endian
import time:      1441 |       2877 |   ctypes
import time:       187 |        187 |       itertools
import time:       114 |        114 |       keyword
import time:        65 |         65 |         _operator
import time:       469 |        534 |       operator
import time:       189 |        189 |       reprlib
import time:        65 |         65 |       _collections
import time:      1529 |       2614 |     collections
import time:        46 |         46 |     _functools
import time:       758 |       3417 |   functools
import time:       432 |        432 |     contextlib
import time:      1211 |       1211 |       enum
import time:        56 |         56 |         _sre
import time:       277 |        277 |           re._constants
import time:       465 |        741 |         re._parser
import time:        82 |         82 |         re._casefix
import time:       632 |       1509 |       re._compiler
import time:       131 |        131 |       copyreg
import time:       748 |       3597 |     re
import time:        96 |         96 |     fnmatch
import time:       642 |       4766 |   glob
import time:       204 |        204 |     warnings
import time:       215 |        418 |   importlib
import time:       810 |        810 |       _ast
import time:       962 |       1771 |     ast
import time:        29 |         29 |         _opcode
import time:       376 |        405 |       opcode
import time:       710 |       1114 |     dis
import time:        94 |         94 |     collections.abc
import time:        37 |         37 |     importlib.machinery
import time:        85 |         85 |         token
import time:        21 |         21 |         _tokenize
import time:       721 |        826 |       tokenize
import time:       193 |       1019 |     linecache
import time:      2782 |       6814 |   inspect
import time:        67 |         67 |   math
import time:        38 |         38 |     _wmi
