strace: Process 10696 attached
strace: Process 10697 attached
% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 71.56    0.492917       14936        33         1 futex
 14.22    0.097960           6     14606       586 newfstatat
  3.98    0.027428          12      2228           read
  1.59    0.010962           8      1295        28 openat
  1.47    0.010110           4      2262           fstat
  1.27    0.008762           4      2029         4 lseek
  1.14    0.007832           9       867           mmap
  1.01    0.006979           5      1274           close
  0.77    0.005333           7       674           munmap
  0.71    0.004923        4923         1           wait4
  0.61    0.004213          13       322           getdents64
  0.59    0.004039           3      1025      1021 ioctl
  0.35    0.002413           3       639           brk
  0.30    0.002090          19       106           mprotect
  0.12    0.000841         280         3           execve
  0.10    0.000688           4       139           rt_sigaction
  0.08    0.000523           4       121           getcwd
  0.03    0.000218          31         7         2 readlinkat
  0.01    0.000057           7         8           write
  0.01    0.000053           6         8           fcntl
  0.01    0.000043          10         4           prlimit64
  0.01    0.000040          40         1           clone
  0.01    0.000039           9         4           rseq
  0.01    0.000035           8         4           set_robust_list
  0.00    0.000033           4         7           getrandom
  0.00    0.000030          10         3           set_tid_address
  0.00    0.000025          12         2           close_range
  0.00    0.000021           2        10           rt_sigprocmask
  0.00    0.000020          10         2           pipe2
  0.00    0.000019           9         2           geteuid
  0.00    0.000014           3         4           uname
  0.00    0.000013           6         2           gettid
  0.00    0.000013          13         1           sysinfo
  0.00    0.000010           5         2         2 faccessat
  0.00    0.000010          10         1           getuid
  0.00    0.000010          10         1           getegid
  0.00    0.000010          10         1           clone3
  0.00    0.000009           4         2         2 prctl
  0.00    0.000009           9         1           getppid
  0.00    0.000009           9         1           getgid
  0.00    0.000007           3         2           pread64
  0.00    0.000007           7         1           getpid
  0.00    0.000005           2         2           sched_getaffinity
  0.00    0.000000           0         1           epoll_create1
  0.00    0.000000           0         3           dup3
  0.00    0.000000           0         1           madvise
  0.00    0.000000           0         4           mbind
------ ----------- ----------- --------- --------- ------------------
100.00    0.688772          24     27716      1646 total

